2019-03-02 02:05:50,329 [I] 	(at main.py:29) 
2019-03-02 02:05:58,854 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,863 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,863 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,863 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,876 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,877 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:58,877 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,877 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,889 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,889 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,900 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,901 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,901 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,931 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,932 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:58,932 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,932 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,944 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,945 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,960 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,960 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,960 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,974 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,974 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:58,986 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,987 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,996 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:58,996 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:58,996 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,010 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,010 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:59,010 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:59,023 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,023 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,034 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,035 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,035 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,072 [D] ┌:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:59,073 [D] |:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,073 [D] └:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,103 [D] -:C:c:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,113 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,113 [D] ┌:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:59,114 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,114 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,126 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,126 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,160 [D] ┌:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,160 [D] └:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] |:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,194 [D] └:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,194 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:59,207 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,207 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,219 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,219 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,219 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,219 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:59,219 [D] |:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,219 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,251 [D] -:C:c:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,263 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,263 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,263 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,275 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,276 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:59,276 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,276 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,288 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,288 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,298 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,298 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,298 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,309 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,309 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:59,309 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,309 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,340 [D] -:C:c:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,368 [D] ┌:C:c:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,368 [D] └:C:c:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,377 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,378 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:59,378 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,378 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,407 [D] -:C:c:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,420 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,420 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,420 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,429 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,429 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:59,430 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,430 [D] └:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,430 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:59,441 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,442 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,453 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,453 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,454 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,484 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,485 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:59,485 [D] |:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,485 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,495 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,496 [D] -:F:n:WD_1:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,508 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,509 [D] ┌:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,509 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,519 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,520 [D] ┌:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:59,520 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,520 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,529 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,529 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,542 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,542 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,542 [D] └:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,553 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,553 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:59,553 [D] |:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,553 [D] └:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,553 [D]  : : :pass:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:59,563 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,563 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,576 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,576 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,576 [D] └:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,588 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,588 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:59,588 [D] |:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,588 [D] └:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,588 [D] -:C:c:WD_1:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,598 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,598 [D] ┌:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,598 [D] └:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,610 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:59,610 [D] ┌:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:59,610 [D] |:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,610 [D] └:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,610 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:59,610 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:59,610 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:59,610 [D]  : : :pass:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:59,610 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:59,610 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,610 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] └:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] -:C:c:WD_1:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] ┌:C:c:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] └:C:c:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] ┌:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] |:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,611 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:59,611 [D]  : : :pass:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] -:C:c:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] ┌:F:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,611 [D] ┌:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:59,612 [D]  : : :pass:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,612 [D] └:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] └:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] |:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,613 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:59,613 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:59,613 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:05:59,613 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] -:F:n:WD_1:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] ┌:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] ┌:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,613 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,614 [D] -:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,614 [D] -:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:59,614 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:59,614 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:59,614 [D] comp_cached_cnt:27	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] compile_cnt:51	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] execute_cnt:1	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] fail_del_cnt:15	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] iter_idx:3	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] reuse_cnt:14	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] succ_del_cnt:0	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] time:0.8424777984619141	(at logger.py:134) 
2019-03-02 02:05:59,614 [D] deletion:37	(at logger.py:136) 
2019-03-02 02:05:59,614 [I] Iteration 3 finished	(at orbs.py:87) 
2019-03-02 02:05:59,615 [D] total_lines:63	(at logger.py:74) 
2019-03-02 02:05:59,615 [D] iteration_cnt:3	(at logger.py:75) 
2019-03-02 02:05:59,615 [D] comp_cached_cnt:32	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] compile_cnt:278	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] execute_cnt:39	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] fail_del_cnt:48	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] reuse_cnt:36	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] succ_del_cnt:27	(at logger.py:79) 
2019-03-02 02:05:59,615 [D] time:9.19488000869751	(at logger.py:80) 
2019-03-02 02:05:59,615 [D] deletion:37	(at logger.py:82) 
2019-03-02 02:05:59,615 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:05:59,615 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:05:59,615 [I] 	(at main.py:96) 
